Date,Open_HDFC,High,Low,Close,Adj Close,Volume,Open_Sensex,Open_NIFTY
04-01-2010,13.275,13.348,13.163,13.346,12.302152,2117000,17473.44922,5200.899902
05-01-2010,13.277,13.403,13.25,13.403,12.354693,1906000,17555.76953,5277.149902
06-01-2010,13.25,13.51,13.25,13.463,12.41,1293000,17719.4707,5278.149902
07-01-2010,13.357,13.689,13.35,13.678,12.608185,2944000,17701.9707,5281.799805
08-01-2010,13.402,13.75,13.402,13.719,12.645977,1712000,17603.86914,5264.25
11-01-2010,13.744,13.775,13.493,13.51,12.453325,2006000,17724.58984,5263.799805
12-01-2010,13.33,13.346,12.723,12.812,11.809917,4806000,17534.09961,5251.100098
13-01-2010,13.028,13.028,12.744,12.932,11.920532,3164000,17368.0293,5212.600098
14-01-2010,12.931,13.03,12.878,12.989,11.973076,1743000,17525.71094,5234.5
15-01-2010,12.704,12.989,12.704,12.867,11.860616,2189000,17604.31055,5259.899902
19-01-2010,13.208,13.891,13.208,13.863,12.778716,4651000,17650.82031,5274.200195
20-01-2010,13.776,13.776,13.464,13.647,12.579608,1798000,17486.68945,5226.100098
21-01-2010,13.45,13.45,12.971,13.038,12.018242,2952000,17474.49023,5220.200195
22-01-2010,12.856,12.978,12.583,12.583,11.598829,3199000,16978.35938,5094.149902
25-01-2010,12.898,12.995,12.652,12.847,11.84218,2122000,16847.69922,5034.549805
27-01-2010,12.32,12.341,11.708,11.879,10.949892,5676000,16708.59961,5008.5
28-01-2010,12.066,12.134,11.515,11.607,10.699164,4653000,16317.16016,4863
29-01-2010,11.983,12.15,11.767,11.83,10.904723,4545000,16253.82031,4866.149902
01-02-2010,12.05,12.064,11.769,11.965,11.029165,2488000,16339.32031,4882.049805
02-02-2010,11.844,12.057,11.82,12.038,11.096457,1315000,16368.44043,4907.850098
03-02-2010,12.268,12.388,12.104,12.161,11.209835,1982000,16210.25,4831
04-02-2010,11.964,11.964,11.571,11.579,10.673355,3837000,16500.28906,4931.299805
05-02-2010,11.418,11.516,11.005,11.143,10.271458,7025000,16222.55957,4819.649902
08-02-2010,11.201,11.209,10.985,11.083,10.216149,4734000,15931.33984,4755.350098
09-02-2010,11.402,11.402,11.164,11.343,10.455814,6663000,15940.73047,4760.549805
10-02-2010,11.459,11.634,11.4,11.485,10.586708,2213000,16042.17969,4793
11-02-2010,11.551,11.657,11.349,11.639,10.728662,1643000,15928.28027,4757.25
16-02-2010,11.579,11.89,11.572,11.787,10.865088,2550000,16042.17969,4801.799805
17-02-2010,11.944,11.999,11.743,11.757,10.837433,2110000,16228.91016,4858.649902
18-02-2010,11.955,12.052,11.878,12.047,11.104752,3595000,16421.19922,4915.100098
19-02-2010,11.852,12.104,11.852,12.079,11.134249,2250000,16256.53027,4887.299805
22-02-2010,12.03,12.174,12.014,12.11,11.162825,1992000,16191.32031,4849.350098
23-02-2010,12.1,12.118,11.963,11.963,11.027324,4606000,16213.13965,4856.600098
24-02-2010,12.034,12.198,12.034,12.147,11.19693,2814000,16218.67969,4869.549805
25-02-2010,12,12.096,11.911,12.094,11.148075,4100000,16264.09961,4859
26-02-2010,12.216,12.226,12.118,12.169,11.217209,2766000,16255.33008,4858.5
02-03-2010,12.464,12.605,12.37,12.475,11.499276,3831000,16438.44922,4935.600098
03-03-2010,12.614,12.687,12.309,12.438,11.46517,6909000,16778.28906,5015.799805
04-03-2010,12.463,12.545,12.335,12.47,11.494669,3074000,17013.67969,5096.950195
05-03-2010,12.51,12.709,12.487,12.709,11.714973,3265000,16988.28906,5080.549805
08-03-2010,12.768,12.795,12.602,12.688,11.695617,2218000,17034.91992,5092.149902
09-03-2010,12.688,12.76,12.568,12.695,11.702068,1709000,17089.2207,5121.049805
10-03-2010,12.896,13.31,12.807,13.281,12.242234,5093000,17072.93945,5101.600098
11-03-2010,13.323,13.442,13.096,13.261,12.2238,1810000,17087.63086,5116.350098
12-03-2010,13.35,13.391,13.066,13.125,12.098437,1582000,17176.01953,5131.799805
15-03-2010,13.036,13.055,12.83,13.006,11.988743,2460000,17166.9707,5134.450195
