Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,49.790001,50.270000,49.660000,49.830002,43.937485,126800
2010-01-05,49.910000,50.189999,49.439999,49.750000,43.866959,205600
2010-01-06,49.759998,50.009998,49.549999,49.599998,43.734688,73100
2010-01-07,49.560001,49.560001,48.869999,49.209999,43.390812,100200
2010-01-08,49.110001,49.970001,49.110001,49.950001,44.043308,77600
2010-01-11,50.150002,50.299999,49.389999,49.799999,43.911037,89700
2010-01-12,49.320000,49.320000,47.750000,48.060001,42.376808,105600
2010-01-13,48.340000,48.770000,47.330002,48.619999,42.870590,114200
2010-01-14,48.529999,48.590000,48.029999,48.529999,42.791229,141400
2010-01-15,48.500000,48.500000,46.830002,46.950001,41.398056,163800
2010-01-19,47.000000,47.599998,47.000000,47.490002,41.874203,132600
2010-01-20,47.279999,47.520000,46.869999,47.490002,41.874203,305400
2010-01-21,47.490002,48.250000,46.930000,47.189999,41.609680,254300
2010-01-22,46.930000,46.930000,44.840000,44.970001,39.652199,244400
2010-01-25,45.250000,45.910000,45.200001,45.590000,40.198891,178800
2010-01-26,45.360001,45.840000,45.130001,45.180000,39.837368,205400
2010-01-27,45.200001,45.919998,44.849998,45.810001,40.392853,260900
2010-01-28,45.820000,45.820000,43.750000,44.459999,39.202515,394600
2010-01-29,44.700001,45.189999,42.689999,42.980000,37.897518,299700
2010-02-01,43.180000,44.490002,43.180000,44.439999,39.184872,563500
2010-02-02,44.480000,45.119999,44.270000,44.900002,39.590488,234400
2010-02-03,44.790001,45.150002,44.509998,44.889999,39.581661,160400
2010-02-04,44.419998,44.419998,42.880001,42.950001,37.871071,204900
2010-02-05,43.000000,43.980000,42.660000,43.930000,38.735184,258700
2010-02-08,43.970001,44.509998,43.369999,43.750000,38.576473,99200
2010-02-09,44.340000,44.799999,43.900002,44.270000,39.034973,90900
2010-02-10,44.230000,44.660000,43.849998,44.540001,39.273064,151200
2010-02-11,44.459999,45.560001,44.180000,45.459999,40.084255,150500
2010-02-12,44.950001,46.290001,44.590000,45.869999,40.445763,171500
2010-02-16,46.290001,46.939999,46.040001,46.869999,41.327515,144000
2010-02-17,47.119999,47.200001,46.270000,46.830002,41.292255,112100
2010-02-18,46.619999,47.009998,46.250000,46.990002,41.433327,357400
2010-02-19,46.759998,47.369999,46.540001,47.119999,41.547955,441400
2010-02-22,47.369999,47.439999,46.869999,47.029999,41.468597,279900
2010-02-23,46.910000,46.910000,45.509998,45.820000,40.401684,125000
2010-02-24,46.029999,46.930000,46.029999,46.680000,41.160000,156500
2010-02-25,45.820000,46.590000,45.400002,46.490002,40.992458,125400
2010-02-26,46.520000,46.520000,45.900002,46.410000,40.921902,79900
2010-03-01,46.639999,47.610001,46.639999,47.509998,41.891834,73300
2010-03-02,47.660000,48.099998,47.349998,47.509998,41.891834,134600
2010-03-03,47.730000,48.040001,47.070000,47.279999,41.689034,78900
2010-03-04,47.299999,47.419998,46.639999,47.240002,41.653763,164200
2010-03-05,47.549999,48.020000,47.250000,47.770000,42.121082,114900
2010-03-08,47.950001,48.009998,47.669998,47.750000,42.103458,118100
2010-03-09,47.520000,48.009998,47.380001,47.619999,41.988827,238100
2010-03-10,47.810001,48.709999,47.740002,48.549999,42.808861,105100
2010-03-11,48.419998,48.419998,47.799999,48.240002,42.535519,221400
2010-03-12,48.500000,48.500000,48.020000,48.150002,42.456158,73000
2010-03-15,47.970001,47.970001,47.320000,47.630001,41.997646,60300
2010-03-16,47.759998,49.040001,47.720001,48.950001,43.161564,76500
2010-03-17,49.110001,49.970001,49.110001,49.740002,43.858150,119500
2010-03-18,49.770000,49.779999,48.939999,49.279999,43.452530,88000
2010-03-19,49.430000,49.430000,48.290001,48.599998,42.852951,94700
